customer_id,task,owner,due_date,status
CUST0015,Request missing docs,Credit Desk,2025-10-10,in_progress
CUST0015,Validate addresses,Master Data,2025-10-10,open
CUST0015,Send onboarding packet,Claire (Sales),2025-10-03,done
CUST0015,Create SAP request,Ops Intake,2025-10-05,blocked
CUST0016,Request missing docs,Credit Desk,2025-10-06,blocked
CUST0016,Validate addresses,Ops Intake,2025-10-04,done
CUST0016,Send onboarding packet,Claire (Sales),2025-10-03,blocked
CUST0016,Create SAP request,Master Data,2025-10-03,blocked
CUST0017,Request missing docs,Master Data,2025-10-05,in_progress
CUST0017,Validate addresses,Claire (Sales),2025-10-10,open
CUST0017,Send onboarding packet,Credit Desk,2025-10-06,open
CUST0017,Create SAP request,Ops Intake,2025-10-03,done
CUST0018,Request missing docs,Master Data,2025-10-08,in_progress
CUST0018,Validate addresses,Master Data,2025-10-10,done
CUST0018,Send onboarding packet,Credit Desk,2025-10-04,blocked
CUST0018,Create SAP request,Claire (Sales),2025-10-09,in_progress
CUST0019,Request missing docs,Credit Desk,2025-10-09,done
CUST0019,Validate addresses,Claire (Sales),2025-10-04,blocked
CUST0019,Send onboarding packet,Credit Desk,2025-10-05,open
CUST0019,Create SAP request,Ops Intake,2025-10-10,open
CUST0020,Request missing docs,Credit Desk,2025-10-09,done
CUST0020,Validate addresses,Credit Desk,2025-10-06,open
CUST0020,Send onboarding packet,Claire (Sales),2025-10-05,blocked
CUST0020,Create SAP request,Master Data,2025-10-04,done
CUST0021,Request missing docs,Credit Desk,2025-10-07,in_progress
CUST0021,Validate addresses,Ops Intake,2025-10-08,in_progress
CUST0021,Send onboarding packet,Claire (Sales),2025-10-06,in_progress
CUST0021,Create SAP request,Ops Intake,2025-10-10,open
CUST0022,Request missing docs,Claire (Sales),2025-10-10,blocked
CUST0022,Validate addresses,Credit Desk,2025-10-05,in_progress
CUST0022,Send onboarding packet,Ops Intake,2025-10-09,open
CUST0022,Create SAP request,Claire (Sales),2025-10-05,done
CUST0023,Request missing docs,Ops Intake,2025-10-05,done
CUST0023,Validate addresses,Claire (Sales),2025-10-03,open
CUST0023,Send onboarding packet,Claire (Sales),2025-10-07,in_progress
CUST0023,Create SAP request,Master Data,2025-10-03,blocked
CUST0024,Request missing docs,Credit Desk,2025-10-09,in_progress
CUST0024,Validate addresses,Credit Desk,2025-10-04,done
CUST0024,Send onboarding packet,Ops Intake,2025-10-10,open
CUST0024,Create SAP request,Credit Desk,2025-10-10,in_progress
